459,富士山,フジサン,剣ヶ峯,ケンガミネ,3775.63,山梨,*,*,1,2,富士山,富士山,甲府,35.2127,138.4350,,御存じ、日本一高い山。最高峰は、測候所横の剣ヶ峰である。
636,北岳,キタダケ,,,3192.39,山梨,*,*,1,3,仙丈ヶ岳,市野瀬,甲府,35.4017,138.1431,南アルプス,日本で２番目に高い山であり、南アルプスの最高峰。白峰三山の最北に位置し、東面の岩場はバットレスと呼ばれ岩登りがさかん。
590,穂高岳,ホタカダケ,奥穂高岳,オクホダカダケ,3190.,岐阜,長野,*,1,,穂高岳,上高地,高山,36.1710,137.3904,北アルプス,北アルプスの最高峰で日本で３番目に高い山。奥穂高、前穂高、北穂高、西穂高、涸沢岳などの山群を称して穂高岳と言うが、最高峰は奥穂高岳。上高地から眺める穂高岳の姿は有名。
637,間ノ岳,アイノダケ,,,3189.29,静岡,山梨,*,1,3,間ノ岳,大河原,甲府,35.3834,138.1353,南アルプス,一見、目立たない山容であるが、その山体の大きさは、深田百名山にして「その図体の大きな事は日本アルプス一」と言われた。北岳、農鳥岳と合わせて白峰三山と呼び、その中心に位置する。
584,槍ヶ岳,ヤリガタケ,,,3180.,長野,岐阜,*,1,2,槍ヶ岳,槍ヶ岳,高山,36.2020,137.3903,北アルプス,槍の穂先のように鋭いピークが印象的。日本アルプスを代表する山であり、日本のアルピニズムの原点とも言える山。東西南北に尾根を伸ばし、そのうち北、東、西は鎌尾根と言われる細い尾根。北アルプスの縦走路の交差点にもなる。
71,悪沢岳,ワルサワダケ,東岳,ヒガシダケ,3141.,静岡,*,*,1,,赤石岳,赤石岳,甲府,35.2951,138.1108,南アルプス,荒川三山の真中にあり、荒川三山の最高峰。
660,赤石岳,アカイシダケ,,,3120.06,長野,静岡,*,1,10,赤石岳,赤石岳,甲府,35.2729,138.0938,南アルプス,標高こそ北岳、悪沢岳に譲るが、赤石山脈の名の通り南アルプスを代表する山。赤い石を産する赤石沢が名の由来。
589,涸沢岳,カラサワダケ,,,3110.,岐阜,長野,*,,3,穂高岳,上高地,高山,36.1734,137.3900,北アルプス,穂高連峰に属する。涸沢から眺めるとピラミダルな形で印象を残す。
588,北穂高岳,キタホタカダケ,,,3106.,岐阜,長野,*,,,穂高岳,上高地,高山,36.1758,137.3918,北アルプス,穂高連峰最北端に位置する。北側の大キレット越しに眺める槍ヶ岳の姿が美しい。
585,大喰岳,オオバミダケ,,,3101.,岐阜,長野,*,,,穂高岳,上高地,高山,36.1958,137.3856,北アルプス,槍ヶ岳南方に位置する。
